Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
118,Leif Davis\Leif-Davis,DF,Leeds United,2,33,0.4,0,0,0,3,2,0,84.2,0,0,0,0
119,Craig Dawson\Craig-Dawson,DF,West Ham,22,1925,21.4,1.7,0,13,32,52,133,82.5,1,5,0,0
120,Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,25,1997,22.2,9.7,10.2,37,27,53,7,76,79,25,0,0
121,Liam Delap\Liam-Delap,FW,Manchester City,1,40,0.4,0,0,0,0,0,0,71.4,0,0,0,0
122,Fabian Delph\Fabian-Delph,MFDF,Everton,8,266,3,0,0.1,5,4,9,3,88,2,0,0,0
123,Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,33,2503,27.8,3.3,0.7,49,59,76,75,87.9,16,8,0,0
124,Mbaye Diagne\Mbaye-Diagne,FW,West Brom,16,1189,13.2,5,1.7,8,7,10,17,70.4,12,9,0,0
125,Amad Diallo\Amad-Diallo,FW,Manchester Utd,3,166,1.8,0,0.5,3,2,6,3,84.4,2,1,0,0
126,Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,22,1020,11.3,0.6,0.5,30,14,46,16,85.2,8,2,0,0
127,Grady Diangana\Grady-Diangana,MFFW,West Brom,20,1235,13.7,1.2,0.2,35,30,49,5,72.9,5,5,0,0
128,Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,30,2360,26.2,6,8.1,38,39,69,33,66.7,66,27,0,0
129,R̼ben Dias\Ruben-Dias,DF,Manchester City,32,2843,31.6,2.4,0.1,31,45,53,118,93.5,3,7,0,0
130,Eric Dier\Eric-Dier,DF,Tottenham,28,2520,28,0.9,0.1,24,50,47,169,84.6,3,2,0,0
